,data,first,second
0,"[3, 6, 5, 3, 2, 6, 1, 4, 0, 1, 2, 0, 0, 2, 3, 5, 5, 6, 5, 0]","[3, 6, 5, 3, 2, 6, 1, 4, 0, 1]","[2, 0, 0, 2, 3, 5, 5, 6, 5, 0]"
1,"[4, 2, 3, 2, 1, 2, 5, 0, 6, 4, 1, 5, 3, 3, 6, 5, 1, 2, 0, 1]","[4, 2, 3, 2, 1, 2, 5, 0, 6, 4]","[1, 5, 3, 3, 6, 5, 1, 2, 0, 1]"
2,"[0, 5, 0, 5, 4, 2, 0, 3, 0, 5, 6, 3, 4, 1, 5, 1, 3, 5, 5, 2]","[0, 5, 0, 5, 4, 2, 0, 3, 0, 5]","[6, 3, 4, 1, 5, 1, 3, 5, 5, 2]"
3,"[6, 6, 5, 0, 0, 5, 4, 6, 1, 0, 1, 4, 6, 3, 6, 1, 0, 4, 3, 1]","[6, 6, 5, 0, 0, 5, 4, 6, 1, 0]","[1, 4, 6, 3, 6, 1, 0, 4, 3, 1]"
4,"[3, 4, 0, 2, 3, 4, 1, 0, 1, 0, 3, 4, 2, 2, 3, 1, 4, 2, 6, 5]","[3, 4, 0, 2, 3, 4, 1, 0, 1, 0]","[3, 4, 2, 2, 3, 1, 4, 2, 6, 5]"
5,"[3, 4, 2, 2, 4, 4, 5, 3, 1, 5, 1, 2, 5, 6, 5, 0, 2, 2, 2, 4]","[3, 4, 2, 2, 4, 4, 5, 3, 1, 5]","[1, 2, 5, 6, 5, 0, 2, 2, 2, 4]"
6,"[5, 1, 5, 1, 3, 2, 2, 1, 1, 6, 5, 1, 3, 4, 6, 6, 5, 1, 2, 5]","[5, 1, 5, 1, 3, 2, 2, 1, 1, 6]","[5, 1, 3, 4, 6, 6, 5, 1, 2, 5]"
7,"[2, 4, 2, 6, 5, 3, 2, 4, 6, 0, 1, 2, 4, 3, 6, 4, 2, 1, 4, 0]","[2, 4, 2, 6, 5, 3, 2, 4, 6, 0]","[1, 2, 4, 3, 6, 4, 2, 1, 4, 0]"
8,"[0, 1, 0, 3, 2, 3, 6, 1, 2, 4, 1, 4, 1, 4, 6, 6, 5, 6, 0, 0]","[0, 1, 0, 3, 2, 3, 6, 1, 2, 4]","[1, 4, 1, 4, 6, 6, 5, 6, 0, 0]"
9,"[0, 6, 0, 2, 6, 5, 5, 6, 3, 1, 0, 6, 6, 3, 5, 2, 3, 4, 1, 6]","[0, 6, 0, 2, 6, 5, 5, 6, 3, 1]","[0, 6, 6, 3, 5, 2, 3, 4, 1, 6]"
